train_mse,test_mse,train,test
0.4830058813095093,0.4768480062484741,4.457906246185303,4.372647762298584
0.48299890756607056,0.47683387994766235,4.378798961639404,4.295107364654541
0.48299261927604675,0.476819783449173,4.301266193389893,4.219110012054443
0.48298484086990356,0.4768058955669403,4.225275039672852,4.144624710083008
0.4829774498939514,0.47679322957992554,4.150796413421631,4.0716233253479
0.48297008872032166,0.47678041458129883,4.077800273895264,4.0000739097595215
0.4829620122909546,0.4767676293849945,4.006255626678467,3.929948568344116
0.482953816652298,0.47675615549087524,3.9361348152160645,3.8612191677093506
0.4829457402229309,0.47674432396888733,3.8674087524414062,3.793858289718628
0.4829370975494385,0.47673261165618896,3.800050973892212,3.727837085723877
0.4829278588294983,0.4767216742038727,3.734032392501831,3.663130283355713
0.482918381690979,0.47671088576316833,3.6693267822265625,3.5997118949890137
0.482909232378006,0.4767001271247864,3.605910301208496,3.53755521774292
0.4829001724720001,0.47669002413749695,3.543755292892456,3.476635694503784
0.48288998007774353,0.47667962312698364,3.482835531234741,3.4169278144836426
0.4828792214393616,0.4766692817211151,3.4231274127960205,3.3584086894989014
0.48286861181259155,0.4766591787338257,3.3646080493927,3.301054000854492
0.482858270406723,0.47664928436279297,3.307252883911133,3.2448408603668213
0.4828467071056366,0.4766407907009125,3.2510383129119873,3.1897475719451904
0.4828355610370636,0.4766315221786499,3.1959424018859863,3.1357502937316895
0.4828249216079712,0.476622074842453,3.1419434547424316,3.082826614379883
0.4828132688999176,0.47661250829696655,3.089017868041992,3.030956268310547
0.482801228761673,0.4766034781932831,3.037144899368286,2.980118751525879
0.4827900528907776,0.47659462690353394,2.9863052368164062,2.930292844772339
0.48277750611305237,0.47658589482307434,2.9364757537841797,2.881458282470703
0.4827653765678406,0.4765779674053192,2.8876378536224365,2.8335964679718018
0.4827529489994049,0.47656959295272827,2.8397715091705322,2.786686897277832
0.482741117477417,0.4765608608722687,2.792858362197876,2.7407100200653076
0.48272907733917236,0.4765520989894867,2.746878147125244,2.695647954940796
0.48271653056144714,0.4765428304672241,2.701812505722046,2.651482582092285
0.48270276188850403,0.47653380036354065,2.657642364501953,2.6081957817077637
0.48268991708755493,0.4765249490737915,2.614351749420166,2.565770149230957
0.48267629742622375,0.47651636600494385,2.5719215869903564,2.5241894721984863
0.4826628565788269,0.47650769352912903,2.5303361415863037,2.483436107635498
0.4826488792896271,0.4764997959136963,2.489577293395996,2.4434945583343506
0.48263537883758545,0.4764905869960785,2.4496302604675293,2.404346227645874
0.48262128233909607,0.47648191452026367,2.4104769229888916,2.3659772872924805
0.4826059937477112,0.47647303342819214,2.3721015453338623,2.32837176322937
0.4825911223888397,0.47646254301071167,2.3344898223876953,2.291512966156006
0.48257574439048767,0.47645431756973267,2.29762601852417,2.255389928817749
0.4825614094734192,0.47644564509391785,2.2614970207214355,2.219985008239746
0.4825466573238373,0.47643718123435974,2.226085901260376,2.1852848529815674
0.48253172636032104,0.47642889618873596,2.1913793087005615,2.151275157928467
0.48251649737358093,0.47641968727111816,2.157362699508667,2.1179416179656982
0.48250168561935425,0.4764111042022705,2.124023675918579,2.0852715969085693
0.482485830783844,0.4764026403427124,2.091346263885498,2.0532517433166504
0.48247116804122925,0.47639384865760803,2.0593202114105225,2.021868944168091
0.4824564456939697,0.4763851463794708,2.0279314517974854,1.9911104440689087
0.4824407696723938,0.4763762652873993,1.9971661567687988,1.9609636068344116
0.4824255406856537,0.47636693716049194,1.967012882232666,1.9314165115356445
